"lat","lon","years","surv_int","cases","low_age","up_age","examined","pfpos","pr","region","yr_start","yr_end","pyor"
,,"2003-2003",14,33,0,99,1012,32,6.62,"Asia",2003,2003,506.0
25.4140,107.8800,"1990-1990",7,101,0,99,710,38,6.95,"Asia",1990,1990,2889.0
17.4160,98.1760,"1991-1992",7,121,,,,,6.98,"Asia",1991,1992,356.0
17.4160,98.1760,"1992-1992",7,130,0,14,349,23,6.98,"Asia",1992,1992,345.0
28.5060,77.6170,"2004-2006",14,67,0,99,692,39,7.39,"Asia",2004,2006,2000.0
18.2793,82.3059,"1988-1989",14,449,0,99,1608,95,7.82,"Asia",1988,1989,2360.0
22.2810,84.7390,"1991-1994",7,231,0,99,151,10,8.68,"Asia",1991,1994,2407.0
21.4330,85.6150,"1994-1994",14,1279,0,99,1049,88,11,"Asia",1994,1994,28225.0
18.9670,84.2160,"1994-1996",14,2351,0,99,1042,93,11.7,"Asia",1994,1996,67566.0
25.3710,107.8560,"1990-1991",7,188,0,99,"1,994",179,11.79,"Asia",1990,1991,12423.0
22.3010,84.7830,"1991-1993",7,329,0,99,223,21,12.35,"Asia",1991,1993,2731.0
13.2670,101.4320,"1989-1989",7,33,0,99,253,24,12.44,"Asia",1989,1989,242.0
13.2670,101.4320,"1987-1988",7,12,0,99,253,24,12.44,"Asia",1987,1988,82.2
13.2670,101.4320,"1989-1990",7,8,0,99,253,24,12.44,"Asia",1989,1990,242.0
21.6830,85.2650,"1987-1988",14,252,0,99,12122,1285,13.85,"Asia",1987,1988,1476.0
18.6039,82.0804,"1988-1989",14,97,0,99,,,13.89,"Asia",1988,1989,712.0
22.1619,84.7567,"2001-2003",7,1828,0,99,7807,833,13.98,"Asia",2001,2003,6174.0
22.2480,85.0480,"2003-2003",14,29,0,99,542,59,14.15,"Asia",2003,2003,271.0
22.0310,85.8280,"2001-2001",7,611,0,99,3134,340,14.22,"Asia",2001,2001,2058.0
22.2810,84.7390,"1990-1991",7,156,0,99,174,19,14.31,"Asia",1990,1991,1147.0
12.9160,102.3820,"1989-1990",7,21,0,99,451,50,14.53,"Asia",1989,1990,421.0
26.1160,91.9820,"1990-1992",7,8026,0,99,5969,834,18.31,"Asia",1990,1992,67545.0
26.6010,94.1990,"2001-2002",7,174,0,99,,,19,"Asia",2001,2002,2625.0
22.3460,84.7910,"1991-1993",7,797,0,99,258,38,19.3,"Asia",1991,1993,1622.0
22.3010,84.7830,"1990-1991",7,285,0,99,230,35,19.95,"Asia",1990,1991,1226.0
22.1330,84.7990,"2003-2003",14,42,0,99,734,126,22.54,"Asia",2003,2003,367.0
22.1749,84.7850,"1998-2000",7,515,0,99,769,136,23.07,"Asia",1998,2000,793.0
23.0300,80.3200,"1987-1995",7,288,5,14,573,129,23.34,"Asia",1987,1995,3870.0
23.0700,80.1300,"1987-1995",7,412,5,14,573,129,23.34,"Asia",1987,1995,4671.0
22.1500,77.1700,"1987-1995",7,457,5,14,573,129,23.34,"Asia",1987,1995,7470.0
22.5200,79.0300,"1987-1995",7,394,5,14,573,129,23.34,"Asia",1987,1995,2745.0
,,"2003-2003",7,5,0,15,782,174,23.75,"Asia",2003,2003,545.0
,,"2003-2003",7,30,0,15,782,174,23.75,"Asia",2003,2003,320.0
,,"2003-2003",7,54,0,15,782,174,23.75,"Asia",2003,2003,1252.0
22.2660,84.9830,"1988-1989",7,5905,2,9,370,88,23.78,"Asia",1988,1989,41282.0
18.3780,82.1830,"1998-2000",14,86,1,14,276,88,32.83,"Asia",1998,2000,937.3
18.3300,82.0840,"1998-2000",14,201,1,14,310,125,41.52,"Asia",1998,2000,948.8
18.9827,82.7162,"1988-1989",14,152,0,99,339,115,44.45,"Asia",1988,1989,377.0
18.4500,96.5330,"1995-1997",7,91,0,99,3034,1105,47.73,"Asia",1995,1997,348.0
22.3460,84.7910,"1990-1991",7,286,0,99,103,38,48.35,"Asia",1990,1991,786.0
19.1811,82.5268,"1988-1989",14,91,0,99,227,86,49.66,"Asia",1988,1989,1137.0
18.2810,81.9850,"1998-2000",14,120,1,14,238,124,53.66,"Asia",1998,2000,960.3
19.5329,82.4276,"1988-1989",14,50,0,99,101,45,58.38,"Asia",1988,1989,118.0
19.7854,82.1661,"1988-1989",14,285,0,99,387,190,65,"Asia",1988,1989,698.0
