surv_int,cases,pop,region,yr_start,yr_end,lat,lon,model_pr,PYOR,pr,MLclass,MLprob,PCMlte5,PCMgt5lt40,PCMgte40,MEDIAN,Q975,Q025,Q75,Q75,Q25,width95,width75,SD,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,V171,V172,V173,V174,V175,V176,V177,V178,V179,V180,V181,V182,V183,V184,V185,V186,V187,V188,V189,V190,V191,V192,V193,V194,V195,V196,V197,V198,V199,V200,V201,V202,V203,V204,V205,V206,V207,V208,V209,V210,V211,V212,V213,V214,V215,V216,V217,V218,V219,V220,V221,V222,V223,V224,V225,V226,V227,V228,V229,V230,V231,V232,V233,V234,V235,V236,V237,V238,V239,V240,V241,V242,V243,V244,V245,V246,V247,V248,V249
14,56,825,America,1989,1990,-64.83,7.63,3.381,825.3,0.74,1,0.80164,0.80164,0.17213,0.02623,0.00695,0.41183,5.00E-05,0.03383,0.00134,0.41178,0.03249,0.11224,0.00307,0.00022,0.00278,0.00119,0.14869,0.00087,0.00246,0.00036,0.07432,0.00058,0.00203,0.0835,0.00068,0.19547,0.00095,0.03822,0.62462,0.02461,0.00765,0.06228,0.00116,0.01945,0.00652,0.00028,0.00111,0.00553,0.00669,0.03351,0.00906,0.00171,0.01541,0.01805,0.00427,0.02236,0.60677,0.14469,0.02927,0.00023,0.00625,0.00022,0.00256,0.00149,0.0093,0.02864,0.0081,0.00119,4.00E-05,0.00043,0.00984,0.00157,0.01544,0.00019,0.00963,0.02901,0.0248,0.00193,0.01187,0.038,0.06051,0.04488,0.0014,0.00157,0.00133,0.00924,0.00341,0.07536,0.00117,0.00718,8.00E-05,0.00306,0.00351,0.00426,0.02493,0.0195,0.00087,0.00032,0.00472,0.00114,0.03651,0.00721,0.00669,0.00489,0.02693,0.03079,0.02789,0.00922,0.00399,0.039,0.01815,0.00032,0.00119,0.00241,0.00027,0.02321,0.00013,0.02007,0.0026,0.00025,0.02937,0.12729,0.00121,0.00226,0.06568,0.04652,0.00147,0.00037,0.00019,0.00049,0.00038,0.01386,0.01946,0.00236,0.07894,0.02934,0.02296,0.09338,0.01924,0.02685,0.09973,0.00687,0.01248,0.00058,0.38078,0.14998,0.00019,0.00473,0.00068,0.00789,0.01125,0.01389,0.00224,0.04237,0.3762,0.11916,0.00217,0.00136,0.01994,0.48669,0.00106,0.00062,0.01712,0.00034,0.07642,0.07576,0.00228,0.01585,0.23286,0.01045,0.3249,0.01114,0.05146,0.01458,0.00102,0.00028,0.31287,0.03579,0.01868,0.01364,0.02228,0.00833,0.00051,0.01342,0.03904,0.00224,0.00646,0.00298,0.00499,0.00174,0.03027,0.14906,0.00015,0.10048,0.00192,0.01838,0.00625,0.00928,0.00106,0.01233,0.00093,0.00535,0.00044,0.00278,0.24721,0.00157,0.00297,0.00061,0.02118,0.01106,0.01585,0.0057,0.00517,0.00052,0.0643,0.00449,0.00086,0.68048,4.00E-05,0.00372,0.00126,6.00E-05,0.00022,0.01273,0.00118,0.00059,0.00936,0.00295,0.00068,4.00E-04,0.00259,0.02413,0.0024,9.00E-05,0.00349,0.04471,0.00019,0.00732,0.00352,0.03877,0.00141,0.00123,0.00381,0.00176,0.16745,0.00033,0.00652,0.00249,0.01667,0.00363,0.00808,0.08213,0.29035
14,89,941,America,1988,1989,-64.83,7.63,3.51,940.8,0.74,1,0.795,0.795,0.1761,0.0289,0.00723,0.43521,5.00E-05,0.03544,0.00138,0.43516,0.03407,0.1161,6.00E-04,0.00392,0.03263,0.00091,0.77344,0.00086,0.00015,0.00336,0.00121,0.00065,0.03035,0.0845,0.00063,0.02149,0.00293,0.00577,0.00075,0.17182,0.00103,0.00116,7.00E-05,0.02223,6.00E-05,0.00245,0.00058,0.00091,0.00305,0.1148,0.02193,0.00078,0.05154,0.02384,0.54017,0.02006,0.05915,0.00067,0.00098,0.00471,0.0012,0.0024,0.0012,0.01535,0.00141,0.06566,0.00087,7.00E-04,0.66028,0.00747,0.15057,0.0129,0.01191,0.00096,0.24267,0.0079,0.00084,0.00031,0.01374,0.00094,0.02698,0.00075,0.00119,0.00622,0.21116,0.00098,0.06507,0.00681,0.00142,0.00306,0.06332,3.00E-05,0.09666,0.12159,0.02457,0.0015,0.0035,0.01696,0.00049,0.04157,0.02098,0.00956,0.01095,0.19311,4.00E-05,0.00758,0.00754,0.00018,0.00908,0.01214,0.00124,0.12465,0.00047,0.00459,0.00036,0.00281,0.00491,0.0105,0.03429,0.00179,0.02286,0.00173,0.0026,0.00101,0.00032,0.00773,0.00244,0.00195,0.35087,0.00603,0.019,0.03701,0.01929,0.00147,0.12218,0.53525,0.04404,0.00645,0.00039,0.01448,0.0086,0.54597,0.88272,4.00E-04,0.0108,0.00235,0.01529,0.00228,0.01144,0.00879,0.00146,0.0142,0.00993,0.05455,0.00043,0.0603,0.00132,0.00606,0.00289,0.00037,0.19746,0.04021,1.00E-05,0.0017,0.0339,0.00213,0.45454,0.42266,0.00844,0.00081,0.00014,0.00211,0.00027,0.00508,0.00385,0.01433,0.00027,0.4901,0.03339,0.35351,0.00712,0.11321,0.00416,0.0013,0.00067,0.0123,0.00073,0.01407,0.00416,0.00074,0.00023,0.00046,0.0122,0.00087,0.00056,0.00463,0.87682,0.19776,0.00089,4.00E-04,0.0016,0.00263,0.3585,0.011,0.00412,0.0092,0.00465,0.00311,0.006,0.01651,0.00409,8.00E-04,0.02058,0.00068,0.00312,0.00021,0.00044,0.05287,0.0034,0.00102,0.02932,0.00466,0.01927,0.0193,0.11373,0.00037,0.00454,0.00655,0.30374,0.06748,0.00105,0.13463,0.05622,0.0017,0.00308,0.08046,0.00019,0.00031,0.00051,0.02732,7.00E-05,0.02487,0.00034,0.00316,0.0019,1.00E-04,0.00294,0.00316,0.00224,0.00139,4.00E-05,0.08494,0.00037
2,108,509,America,2004,2005,NA,NA,0.482,636.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,64,168,America,1991,1992,NA,NA,2.97,168,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,69,133,America,1991,1992,NA,NA,2.969,144.1,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,73,429,America,1999,2000,-65.2111,2.639,2.829,835.1,1.33,1,0.77404,0.77404,0.22319,0.00277,0.01994,0.19053,0.00115,0.04563,0.00825,0.18938,0.03738,0.05445,0.04509,0.03734,0.0111,0.24809,0.03274,0.00296,0.17116,0.025,0.15941,0.00805,0.10985,0.00905,0.0154,0.13211,0.01662,0.01174,0.00711,0.003,0.16485,0.00504,0.0074,0.06203,0.00143,0.00405,0.01274,0.00387,0.01406,0.00979,0.01992,0.02146,0.08315,0.08538,0.14541,0.04011,0.03476,0.0315,0.08587,0.0857,0.02275,0.09659,0.00719,0.00628,0.00689,0.00529,0.00853,0.00102,0.00257,0.08665,0.00444,0.00557,0.0224,0.01921,0.00076,0.02423,0.0425,0.05488,0.01464,0.01984,0.03493,0.03835,0.0333,0.0103,0.03264,0.01548,0.04377,0.00179,0.05912,0.01545,0.0883,0.00215,0.00209,0.18263,0.31883,0.00325,0.04526,0.02473,0.02806,0.03829,0.00246,0.07069,0.00254,0.00433,0.01259,0.01964,0.00127,0.00365,6.00E-05,0.0103,0.003,0.00083,0.09104,0.02311,0.0311,0.00993,0.0239,0.01413,0.00885,0.01676,0.15048,0.11265,0.02097,0.02838,0.04405,0.00255,0.0152,0.01044,0.01213,0.01168,0.1701,0.06618,0.03465,0.03677,0.04052,0.01415,0.0779,0.01002,0.02393,0.00491,0.01708,0.12033,0.19099,0.08047,0.04572,0.01,0.05599,0.04371,0.05555,0.00307,0.12499,0.07488,0.05247,0.01752,0.01774,0.0216,0.0289,0.02317,0.02756,0.0435,0.03011,0.0251,0.00273,0.00104,0.00825,0.02424,0.01681,0.01326,0.02938,0.0449,0.03582,0.0146,0.00205,0.05763,0.00594,0.00247,0.00962,0.00217,0.01029,0.01121,0.01571,0.17528,0.00964,0.0048,0.0056,0.00531,0.0123,0.00506,0.00836,0.00898,0.03268,0.02351,0.00449,0.02105,0.05058,0.00595,0.06928,0.03767,0.1944,0.07491,0.10071,0.03639,0.00414,0.00296,0.0199,0.00273,0.02465,0.00138,0.01089,0.00165,0.00349,0.00675,0.01076,0.02576,0.05328,0.00956,0.01158,0.00692,0.04027,0.02301,0.00348,0.01087,0.00329,0.23401,0.01005,0.08476,0.00142,0.01737,0.03343,0.00303,0.04011,0.02826,0.04889,0.03493,0.02405,0.02456,0.0134,0.01949,0.00225,0.1092,0.00207,0.00364,0.00355,0.14637,0.02494,0.05574,0.00845,0.02292,0.01334,0.00289,0.00834,0.01896,0.05691
7,175,3324,America,1996,1997,-80.523,-4.856,1.132,3324,1.68,1,0.96777,0.96777,0.03131,0.00091,0.0015,0.06128,2.00E-05,0.00555,0.00038,0.06125,0.00517,0.02825,8.00E-05,0.00894,0.00126,7.00E-05,7.00E-05,0.00174,0.02142,0.00033,0.00167,0.02468,4.00E-04,0.00041,0.00537,2.00E-05,2.00E-05,0.00169,7.00E-05,0.00134,0.00273,0.00076,0.00056,0.00069,9.00E-05,0.00027,0.00017,0.00095,2.00E-05,0.00034,1.00E-05,2.00E-05,0.0079,0.0082,0.00294,0.00035,0.03228,0.00118,0.0022,0.00033,0.00188,0.00103,0.00012,0.00463,0.00012,4.00E-05,0.00061,0.00382,0.00093,0.00076,0.00194,0.00014,0.00897,0.00075,0.00068,0.0091,0.00013,0.00186,0.00213,0.00366,1.00E-04,0.00619,0.00016,0.00166,0.00136,0.0011,0.00038,0.00036,0.00115,0.00016,0.00018,4.00E-05,0.00937,0.00157,3.00E-05,0.00027,0.00988,4.00E-05,0.17026,0.005,0.00604,0.00129,4.00E-05,0.00129,0.00947,0.00047,0.00042,0.00032,0.00487,0.0188,0.0224,0.00057,0.00062,0.00112,2.00E-04,1.00E-05,1.00E-04,0.00028,9.00E-05,0.00107,9.00E-05,0.00046,0.00371,0.03556,0.00039,0.00323,4.00E-05,0.00087,0.00226,0.00538,0.00019,0.00116,0.00961,0.00035,0.0087,0.00012,0.03519,0.07019,0.03422,0.04773,0.00037,0.01086,0.00045,0.00249,0.00013,0.00016,0.00889,0.00062,0.0094,0.00072,0.00012,0.00076,7.00E-05,0.00585,0.00192,0.00147,0.00141,4.00E-04,0.00134,0.00154,1.00E-05,0.00391,0.00429,0.00052,0.05222,0.0043,0.00022,0.00041,0.00053,0.00214,9.00E-05,0.00527,0.00055,0.00755,0.0031,0.00111,0.00363,0.00204,0.00155,0.00679,0.00161,7.00E-05,9.00E-05,0.0014,0.00564,0.00904,0.00231,0.00045,0.01725,0.00443,0.01092,0.01698,0.04213,0.00504,0.00428,0.00462,5.00E-05,0.00041,0.01693,0.00029,0.02659,0.00043,0.00414,0.00136,0.0012,0.00092,0.0038,0.00432,0.00077,0.0015,0.0018,0.00692,0.00039,7.00E-04,0.00075,0.04548,0.01868,0.00058,0.01765,0.00192,0.00042,0.00035,0.00013,2.00E-05,0.00017,0.00034,0.00131,0.00095,0.02121,1.00E-04,0.02808,0.00026,0.00118,0.00215,0.00049,0.02383,0.00011,0.00056,0.00212,0.00056,0.00011,0.006,0.00078,0.01248,0.00037,6.00E-05,0.05298,0.00013,0.00018,0.00114,0.00032,0.01828,0.0698
7,232,1400,America,1997,1998,-73.2775,-3.6986,4.129,1400,1.7,1,0.82229,0.82229,0.17131,0.00641,0.01162,0.21855,0.00039,0.03391,0.00383,0.21817,0.03007,0.06532,0.00135,0.02049,0.00058,0.00549,0.00187,0.01194,0.00022,0.00245,0.00827,0.00039,0.00406,0.00051,0.61183,0.00304,0.03381,0.01741,0.13723,0.00722,0.00785,0.06243,0.00558,0.00761,0.00707,0.0139,0.00318,0.00417,0.01424,0.04051,0.01521,0.01457,0.00041,0.00311,0.00124,0.01401,0.00045,0.00068,0.00337,0.00281,0.01214,0.01164,0.00065,0.00026,0.00367,0.01367,0.00191,0.00127,0.00344,0.00098,0.02835,0.00267,0.00337,0.00225,0.01207,0.00159,0.00184,0.00275,0.00096,0.0019,0.00581,0.01693,0.01415,0.00044,0.01663,0.01751,0.04778,0.00447,0.06347,0.02413,0.05576,0.00884,0.02169,0.01804,0.05588,0.00678,0.08529,0.01211,0.15047,0.00072,0.03504,0.00447,0.00635,0.0445,0.00104,0.0088,0.01635,0.42743,0.0402,0.03843,0.02016,0.00287,0.01221,0.02071,0.02584,0.00508,0.00818,0.00565,0.00854,0.05346,0.00841,0.01327,0.01144,0.06101,0.14179,0.22734,0.01724,0.1097,0.06401,0.01126,0.02601,0.03502,0.02509,0.04055,0.10175,0.01125,0.05417,0.09736,0.02993,0.00108,0.07952,0.01467,0.02274,0.00554,0.00675,0.01899,0.02512,0.00775,0.05001,0.01172,0.10883,0.00295,0.03631,0.00288,0.01765,7.00E-04,0.01948,0.03391,0.02744,0.03014,0.00564,0.07075,0.04096,0.03027,0.00731,0.0186,0.02723,0.01442,0.00048,0.02017,0.05263,0.02092,0.04964,0.00013,0.00436,0.00813,0.00103,0.00124,0.00225,0.00322,0.0018,0.00507,0.00546,0.00039,0.01042,0.01023,0.071,0.00732,0.01883,0.03223,0.02016,0.01229,0.00173,0.01637,0.70843,0.00244,0.12085,0.02833,0.0231,0.00129,0.00256,0.00461,0.0169,0.0014,0.01176,0.00171,0.00031,0.00038,0.004,0.03702,0.00195,0.00099,0.03145,0.01102,0.00038,0.0157,0.00019,0.00659,0.00386,0.00812,0.00848,0.00072,0.00258,0.00038,0.03937,0.00126,0.02301,5.00E-04,0.06602,0.00196,0.006,0.06532,0.10449,0.03132,0.0123,0.00612,0.13013,0.02477,0.00474,0.00509,0.00951,0.00233,0.00495,0.38112,0.03045,0.03719,0.02389,0.01221,0.0224,0.02961,0.00461,0.00112,0.00407
3,28,175,America,1998,1999,NA,NA,4.006,175,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,22,521,America,1996,1997,-54.984,-10.277,7.868,521,3.15,1,0.61826,0.61826,0.35198,0.02976,0.03153,0.43074,0.00114,0.0869,0.01076,0.4296,0.07614,0.11478,0.51513,0.05943,0.06188,0.18983,0.03514,0.79205,0.3079,0.03723,0.07618,0.25601,0.00209,0.00915,0.00039,0.00066,0.04562,0.00018,0.00026,0.00069,0.00084,0.00101,0.02245,0.03563,0.04569,0.0087,0.02451,0.0271,0.0044,0.09314,0.05268,0.0261,0.01683,0.03815,0.06835,0.01054,0.03347,0.42887,0.01346,0.08071,0.04986,0.12365,0.01956,0.01632,0.03508,0.01091,0.0263,0.00546,0.02348,0.00035,0.06491,0.00575,0.03839,0.05208,0.03559,0.07934,0.09806,0.02388,0.04357,0.02521,0.02919,0.05311,0.16491,0.06068,0.23037,0.09558,0.12774,0.0175,0.01831,0.03909,0.02348,0.30838,0.58536,0.14636,0.00356,0.05427,0.03869,0.23021,0.0422,0.14751,0.29248,0.10312,0.01007,0.04831,0.01057,0.03089,0.11049,0.03411,0.14089,0.63753,0.03172,0.08731,0.0807,0.0092,0.00691,0.02659,0.0229,0.00674,0.00666,0.04096,0.00865,0.0092,0.00334,0.02014,0.01769,0.0014,0.04672,0.04586,0.03798,0.00742,0.02055,0.00765,0.04431,0.00308,0.00428,0.05082,0.0672,0.02851,0.02988,0.01527,0.01173,0.03078,0.1293,0.02144,0.0449,0.04142,0.1477,0.2027,0.13205,0.02914,0.0873,0.02065,0.02029,0.06099,0.02429,0.04315,0.04757,0.03451,0.04544,0.05379,0.00075,0.08121,0.01287,0.07932,0.02865,0.00075,0.03349,0.02978,0.00343,0.0933,0.00453,0.11167,0.00598,0.01342,0.00803,0.001,0.00357,0.08413,0.01243,0.03489,0.17896,0.06209,0.001,0.00747,0.01985,0.02084,0.01639,0.01754,0.02055,0.00425,0.1093,0.02317,0.00771,0.0582,0.16152,0.01016,0.02241,0.00817,0.87381,0.01643,0.1628,0.02195,0.05985,0.00729,0.02767,0.00116,0.12405,0.015,0.07716,0.01095,0.00717,0.1389,0.16934,0.08794,0.08815,0.30753,0.02293,0.00344,0.2139,0.01119,0.06792,0.00977,0.78607,0.01798,0.03117,0.04169,0.781,0.22591,0.08553,0.00176,0.7162,0.09599,0.1187,0.14024,0.00275,0.09252,0.01708,0.00456,0.10089,0.00093,0.00659,0.00109,0.00137,0.13563,0.12102,0.03961,0.04577,0.27384,0.00197,0.14683,0.03034,0.26375,0.00991
14,108,495,America,1999,2000,-65.2111,2.639,2.83,916.7,5.48,1,0.77331,0.77331,0.2239,0.00279,0.02003,0.18865,0.00116,0.04575,0.00827,0.18749,0.03748,0.05425,0.38112,0.05971,0.13938,0.12746,0.01532,0.07466,0.19929,0.10764,0.07509,0.07536,0.00233,0.00797,0.03954,0.05303,0.2143,0.01775,0.0127,0.07053,0.01712,0.04986,0.01561,0.01125,0.00342,0.00292,0.01376,0.02119,0.00736,0.02654,0.02562,0.01917,0.15499,0.10623,0.52249,0.1638,0.04597,0.0582,0.08028,0.14753,0.10337,0.03628,0.00413,0.00792,0.01225,0.00242,0.00049,0.01779,0.00528,0.00934,0.01234,0.00333,0.01561,0.00594,0.00871,0.02803,0.01233,0.00663,0.03857,0.02361,0.00752,0.02408,0.01058,0.0107,0.01725,0.08009,0.00745,0.00639,0.01368,0.014,0.02724,0.03605,0.01048,0.00241,0.16037,0.04982,0.02797,0.08326,0.00899,0.02105,0.05918,0.00557,5.00E-04,0.00247,0.00296,0.00201,0.00548,0.0043,0.00049,0.03005,0.00452,0.03583,0.0187,0.04878,0.20681,0.03421,0.0374,0.01874,0.2481,0.007,0.05079,0.04311,0.04576,0.02604,0.00392,0.08659,0.03902,0.02417,0.00954,0.02926,0.00954,0.04205,0.11971,0.01635,0.06407,0.05737,0.04189,0.032,0.02631,0.051,0.02718,0.05009,0.03918,0.04872,0.01202,0.01555,0.02936,0.06521,0.06679,0.03531,0.00625,0.01476,0.03044,0.00201,0.01127,0.02243,0.0086,0.00715,0.01292,0.00758,0.04478,0.0074,0.01027,0.01825,0.21797,0.05561,0.06495,0.04658,0.01114,0.06703,0.04379,0.28784,0.00485,0.00218,0.0305,0.01863,0.0011,0.00269,0.00307,0.00205,0.03946,0.01195,0.00164,0.00912,0.00185,0.0042,0.08645,0.00194,0.0245,0.01271,0.00074,0.00197,0.01772,0.03678,0.00129,0.01782,0.00397,0.00461,0.00074,0.04375,0.004,0.05141,0.01864,0.01195,0.00627,0.00404,0.0277,0.25896,0.00134,0.00103,0.00374,0.00138,0.03049,0.01434,0.02787,0.00973,0.00654,0.01056,0.05346,0.0055,0.00654,0.01491,0.01666,0.00321,0.00233,0.00017,0.00181,0.00239,0.01034,0.0026,0.00351,0.00086,0.03556,0.00116,0.01248,0.00231,0.01321,0.00849,0.0055,0.00337,7.00E-04,0.07633,0.00253,0.02608,0.01192,0.06501,0.01791,0.00231,0.00805,0.04182,0.01884,0.03462,0.0037
7,22,270,America,2001,2001,NA,NA,4.502,270,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
