FO,Region,Country,ACD Location,lat,lon,Latlong Source,Guess,REC_ID,ENL_ID,yr_start,yr_end,surv_int,pcd,cases,pyor,y,LN(y),s.e.,LCI95,UCI95,Mylem,Myuem,n,n+,lar,uar,PfPR,pr,mbg_pr,mix_pr,Ref ACD,Ref PfPR,Notes,
11,Africa+,Mali,Donéguébougou,12.8010,-7.9840,Encarta,1,1172081460,3245,1999,1999,7,Y,262,379,691.293,6.539,0.062,612.454,780.280,78.839,88.987,1028,556,0.0,20.0,54.086,59.206,55.307,59.206,7,7,,
12,Africa+,Mali,Donéguébougou,12.8010,-7.9840,Encarta,1,1172081460,3245,2000,2000,7,Y,271,389,697.375,6.547,0.061,619.097,785.551,78.278,88.176,1097,530,0.0,20.0,48.314,52.887,53.921,52.887,7,7,,
13,Africa+,Mali,Sotuba,12.6490,-7.9340,Encarta,1,-920232646,3245,1999,1999,7,Y,379,383,989.040,6.897,0.051,894.313,1093.800,94.727,104.760,1142,172,0.0,20.0,15.061,16.487,40.318,16.487,7,7,,
14,Africa+,Mali,Sotuba,12.6490,-7.9340,Encarta,1,-920232646,3245,2000,2000,7,Y,197,383,514.092,6.242,0.071,447.089,591.136,67.003,77.044,1103,67,0.0,20.0,6.074,6.649,38.910,6.649,7,7,,
15,Africa+,Mali,Koro (Dogon),14.5111,-3.0705,Pers. Comm.,1,-1277740638,433,1999,2000,3,Y,1390,1970,302.393,5.712,0.027,286.906,318.716,15.487,16.322,4382,1053,0.0,99.0,24.030,31.497,39.318,31.497,8,8,,
16,Africa+,Mali,Koro (Fulani),14.5111,-3.0705,Pers. Comm.,1,-1277740638,433,1999,2000,3.000,Y,292,552,226.708,5.424,0.059,202.140,254.262,24.568,27.553,969,138,0.0,99.0,14.241,18.667,39.319,18.667,8,8,,
17,Africa+,Mali,Bandiagara (control),14.3440,-3.6060,Encarta,1,-1048980351,427,1999,1999,7,Y,199,158,1261.090,7.140,0.071,1097.501,1449.063,163.589,187.973,638,261,0,10,40.909,42.811,45.333,45.333,15,4,,
18,Africa+,Mali,Bandiagara (SP Rx),14.3440,-3.6060,Encarta,1,-1048980351,427,1999,1999,7,Y,202,157,1284.170,7.158,0.070,1118.745,1474.056,165.425,189.886,638,261,0,10,40.909,42.811,45.378,45.378,15,4,,
19,Africa+,Senegal,Dakar,14.7170,-17.4500,Combination,2,-1180088854,424,1996,1997,7,N,26,1067,24.367,3.193,0.196,16.591,35.789,7.776,11.421,5365,75,2.0,9.0,1.398,1.398,4.421,1.398,1,1,,
20,Africa+,Senegal,Ndiop,13.6830,-16.3830,Paper,2,-481432576,795,1993,1994,7,Y,565,351,1609.687,7.384,0.042,1482.280,1748.044,127.406,138.357,1705,510,0.0,14.0,29.912,30.930,38.956,30.930,13,13,,
21,Africa+,Senegal,Barkedji,15.1700,-14.5300,Paper,1,,,1994,1995,10,N,84,123,975.610,6.883,0.109,787.772,1208.235,187.837,232.626,,,,,,,21.743,21.743,14,4,,
22,Africa+,South Africa,Ndumu and Makanis area,-27.1000,32.2110,Combination,2,,,1996,1996,7,Y,2725,13099,208.031,5.338,0.019,200.365,215.991,7.666,7.959,,,,,,,4.959,4.959,5,4,,
23,Africa+,Sudan,Daraweesh,13.9330,35.4980,Combination,2,-1808279707,476,1993,1993,2,Y,158,415,108.778,4.689,0.080,93.073,127.134,15.705,18.356,881,78,0.0,88.0,8.854,11.605,4.207,11.605,2,2,,
24,Africa+,Sudan,Daraweesh,13.9330,35.4980,Combination,2,-1808279707,476,1994,1994,2,Y,176,432,116.402,4.757,0.075,100.415,134.935,15.987,18.533,881,78,0.0,88.0,8.854,11.605,3.266,11.605,2,2,,
25,Africa+,Sudan,Daraweesh,13.9330,35.4980,Combination,2,-1808279707,476,1995,1995,2,Y,108,421,73.295,4.294,0.096,60.697,88.508,12.598,15.213,914,16,0.0,88.0,1.751,2.295,5.775,2.295,2,2,,
26,America,Brazil,Urupa,-9.0860,-63.6680,Combination,1,-1075843466,874,1996,1996,7,Y,4,145,27.586,3.317,0.500,10.353,73.502,17.233,45.916,145,2,0,99,1.379,1.808,5.166,1.808,19,4,,
27,America,Brazil,Ramal do Granada,-10.2416,-67.2083,Combination,1,1150269642,1004,2004,2005,2,Y,108,636,48.498,3.882,0.096,40.162,58.565,8.336,10.066,1109,8,5,70,0.72,0.989,0.481,0.989,21,4,,
